,0
0831,-6.26367
0832,-6.84249
0833,-6.24189
0834,-6.80177
0835,-7.4314
0836,-7.38611
0837,-6.6618
0838,-6.97949
0839,-6.68928
0840,-7.85272
0841,-7.28568
0842,-7.19747
0843,-7.45224
0844,-7.52815
0845,-6.7346
0846,-6.72143
0847,-7.00964
0848,-8.00969
0849,-8.03334
0850,-6.87848
0851,-6.8852
0852,-7.29508
0853,-7.07099
0854,-6.98978
0855,-8.01084
0856,-7.39689
0857,-6.8237
0858,-7.236
0859,-6.50831
0860,-8.5219
0861,-7.63156
0862,-7.62336
0863,-7.21662
0864,-8.20132
0865,-7.42699
0866,-7.79831
0867,-7.02049
0868,-6.79837
0869,-7.51865
0870,-6.98668
0871,-7.58855
0872,-6.66914
0873,-7.38264
0874,-7.10069
0875,-7.6559
0876,-7.8173
0877,-7.04689
0878,-8.55313
0879,-8.03549
0880,-8.26791
0881,-7.13899
0882,-7.88788
0883,-7.70106
0884,-8.1104
0885,-8.52355
0886,-8.16123
0887,-7.81398
0888,-8.32009
0889,-8.8016
0890,-7.00433
0891,-8.54491
0892,-8.17986
0893,-7.66122
0894,-8.16775
0895,-7.36349
0896,-6.79878
0897,-6.43881
0898,-6.13509
0899,-6.99636
0900,-7.62642
0901,-7.47763
0902,-7.29949
0903,-6.4793
0904,-7.96144
0905,-7.29516
0906,-7.3174
0907,-6.56812
0908,-7.34038
0909,-7.10596
0910,-7.96278
0911,-7.20095
0912,-7.49638
0913,-7.09592
0914,-6.93831
0915,-7.37069
0916,-8.04992
0917,-7.94035
0918,-7.58435
0919,-6.97424
0920,-7.18407
0921,-7.08188
0922,-7.9713
0923,-7.6216
0924,-6.80463
0925,-7.06922
0926,-7.3392
0927,-6.24922
0928,-7.05019
0929,-5.66345
0930,-6.9337
0931,-6.79681
0932,-6.241
0933,-5.97003
0934,-6.95915
0935,-6.59937
0936,-6.55315
0937,-6.63107
0938,-6.75995
0939,-6.68412
0940,-7.18752
0941,-7.38393
0942,-7.13461
0943,-6.86562
0944,-6.46341
0945,-6.78895
0946,-7.39592
0947,-6.34568
0948,-7.11405
0949,-6.63155
0950,-6.92404
0951,-6.77839
0952,-6.63989
0953,-6.61064
0954,-6.64333
0955,-7.32299
0956,-6.66783
0957,-6.67929
0958,-7.12971
0959,-6.66434
0960,-7.26886
0961,-7.04379
0962,-5.98249
0963,-6.84429
0964,-6.9448
0965,-7.00051
0966,-6.81746
0967,-6.04347
0968,-6.55682
0969,-6.3031
0970,-6.44153
0971,-7.19513
0972,-6.45025
0973,-6.61992
0974,-6.96415
0975,-6.73899
0976,-6.58693
0977,-6.77129
0978,-7.09234
0979,-6.57672
0980,-7.15477
0981,-6.9312
0982,-6.59536
0983,-6.07847
0984,-6.20974
0985,-7.01736
0986,-6.54941
0987,-7.1603
0988,-6.7378
0989,-6.79253
0990,-6.48864
0991,-7.0127
0992,-7.27584
0993,-6.94547
0994,-7.01896
0995,-6.79432
0996,-7.43562
0997,-7.38485
0998,-7.57459
